id,created_at,text
825869090111754242,2017-01-30 00:51:49,"Make no mistake, no one loves Trump hysteria more than the stakeholders of mainstream and social media."
824271101081559040,2017-01-25 15:01:59,"#BellLetsTalk may be today, but let's talk anytime."
822500202946949120,2017-01-20 17:45:04,"RT @EricHolthaus: It begins. The first agenda item up on the new @whitehouse site is to ""eliminate ... the Climate Action Plan."" https://t.…"
